iso,glottocode,name,family,family_code,classification,macroarea,countries,dialects,names,med,aes,refs,likely_script
aaa,ghot1243,Ghotuo,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > North-Central Edoid > Afenmai-Bendel,Africa,NG,,Ghotuo jezik|Ghotuo language|Otuo|Otwa,phonology/text,not endangered,8,Latin
aab,alum1246,Arum,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Benue-Congo Plateau > Alumic > Alumu-Akpondu,Africa,NG,Alumu|Tesu,Alumu|Alumu-Tesu|Arum-Cesu|Arum-Chessu|Arum-Tesu,phonology/text,not endangered,19,Latin
aac,arii1243,Ari,Suki-Gogodala,suki1244,Suki-Gogodala > Gogodalic > Ari-Waruna,Papunesia,PG,,Ari jezik|Ari language|Lenga Ari,Wordlist or less,moribund,4,Latin
aad,amal1242,Amal,Sepik,sepi1257,Sepik,Papunesia,PG,,Alai|Amal jezik|Amal language|Amaleg|Amel,Wordlist or less,shifting,5,Latin
aae,arbe1236,Arbëreshë Albanian,Indo-European,indo1319,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk > Southern Tosk,Eurasia,IT,Calabrian Albanian|Campo Marino Albanian|Central Mountain Albanian|Sicilian Albanian,"Albanesisch|Albanian|Albanian, Arbëreshë|Arber|Arbereshe Albanian|Arberesjiska|Arberés|Arbresh|Arbërerisht|Arbëresh language|Arbëreshë|Arbëreshë albanski",grammar,threatened,40,Latin
aaf,aran1261,Aranadan,Dravidian,drav1251,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Malayalamoid,Eurasia,IN,,Aranatan|Eranadans,phonology/text,shifting,13,Malayalam
aag,ambr1239,Ambrak,Nuclear Torricelli,nucl1708,Nuclear Torricelli > Wapei-Palei > Central Torricelli > Nuclear Palai > Yangum-Ambrak,Papunesia,PG,,,Wordlist or less,threatened,3,Latin
aah,abua1245,Abu' Arapesh,Nuclear Torricelli,nucl1708,Nuclear Torricelli > Kombio-Arapesh-Urat > Arapesh > Mufian-Bukiyip-Abu > Bukiyip-Abu,Papunesia,PG,,Abu'|Abu’ Arapesh|Ua,long grammar,shifting,8,Latin
aai,arif1239,Arifama-Miniafia,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > Papuan Tip linkage > Nuclear Papuan Tip linkage > North Papuan Mainland-D'Entrecasteaux linkage > Are-Taupota linkage > Are linkage,Papunesia,PG,Arifama|Miniafia,Miniafia-Arifama,grammar sketch,shifting,22,Latin
aak,anka1246,Ankave,Angan,anga1289,Angan > Nuclear Angan > Ankave-Tainae-Akoye,Papunesia,PG,Ankai|Bu'u|Miyatnu|Sawuve|Wiyagwa|Wunavai,Angave|Ankave jezik|Ankave language,grammar,not endangered,21,Latin
